"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38253","test_group_chat_messages_baseline","tests","Thu Mar 27 00:42:00 GMT 2025","passed","Thu Mar 27 00:42:39 GMT 2025","TestPrivateGroupMessages","test_private_group_messages","",""
"","38180","test_join_community_with_low_bandwith","tests","Thu Mar 27 00:34:28 GMT 2025","failed","Thu Mar 27 00:35:07 GMT 2025","TestJoinCommunity","test_join_community","",""
"","39649","test_join_community_baseline","tests","Thu Mar 27 00:31:36 GMT 2025","failed","Thu Mar 27 00:32:15 GMT 2025","TestJoinCommunity","test_join_community","",""
"","52970","test_contact_request_baseline","tests","Thu Mar 27 00:17:28 GMT 2025","passed","Thu Mar 27 00:18:21 GMT 2025","TestContacRequest","test_contact_request","",""
"","66469","test_contact_request_with_packet_loss","tests","Thu Mar 27 00:19:54 GMT 2025","passed","Thu Mar 27 00:21:01 GMT 2025","TestContacRequest","test_contact_request","",""
"","39694","test_leave_community_baseline","tests","Thu Mar 27 00:37:43 GMT 2025","failed","Thu Mar 27 00:38:23 GMT 2025","TestLeaveCommunity","test_leave_community","",""
"","3064","test_one_to_one_message_with_node_pause_30_seconds","tests","Thu Mar 27 00:41:47 GMT 2025","passed","Thu Mar 27 00:41:50 GMT 2025","TestOneToOneMessages","test_one_to_one_messages","",""
"","54437","test_fetch_community_with_packet_loss","tests","Thu Mar 27 00:27:52 GMT 2025","broken","Thu Mar 27 00:28:47 GMT 2025","TestFetchCommunity","test_fetch_community","",""
"","54441","test_fetch_community_with_latency","tests","Thu Mar 27 00:26:50 GMT 2025","broken","Thu Mar 27 00:27:44 GMT 2025","TestFetchCommunity","test_fetch_community","",""
"","3064","test_one_to_one_message_with_node_pause_5_seconds","tests","Thu Mar 27 00:41:34 GMT 2025","passed","Thu Mar 27 00:41:37 GMT 2025","TestOneToOneMessages","test_one_to_one_messages","",""
"","4069","test_group_chat_messages_with_node_pause_10_seconds","tests","Thu Mar 27 00:42:49 GMT 2025","passed","Thu Mar 27 00:42:53 GMT 2025","TestPrivateGroupMessages","test_private_group_messages","",""
"","4072","test_group_chat_messages_with_node_pause_40_seconds","tests","Thu Mar 27 00:43:03 GMT 2025","passed","Thu Mar 27 00:43:07 GMT 2025","TestPrivateGroupMessages","test_private_group_messages","",""
"","55704","test_community_messages_baseline","tests","Thu Mar 27 00:15:33 GMT 2025","passed","Thu Mar 27 00:16:29 GMT 2025","TestCommunityMessages","test_community_messages","",""
"","56439","test_one_to_one_message_with_latency","tests","Thu Mar 27 00:39:11 GMT 2025","passed","Thu Mar 27 00:40:08 GMT 2025","TestOneToOneMessages","test_one_to_one_messages","",""
"","1052","test_contact_request_with_node_pause","tests","Thu Mar 27 00:22:04 GMT 2025","passed","Thu Mar 27 00:22:05 GMT 2025","TestContacRequest","test_contact_request","",""
"","54443","test_join_community_with_latency","tests","Thu Mar 27 00:32:23 GMT 2025","broken","Thu Mar 27 00:33:18 GMT 2025","TestJoinCommunity","test_join_community","",""
"","53172","test_contact_request_with_low_bandwith","tests","Thu Mar 27 00:21:01 GMT 2025","passed","Thu Mar 27 00:21:54 GMT 2025","TestContacRequest","test_contact_request","",""
"","28389","test_one_to_one_message_with_packet_loss","tests","Thu Mar 27 00:40:18 GMT 2025","passed","Thu Mar 27 00:40:46 GMT 2025","TestOneToOneMessages","test_one_to_one_messages","",""
"","46469","test_join_community_with_node_pause","tests","Thu Mar 27 00:35:15 GMT 2025","passed","Thu Mar 27 00:36:01 GMT 2025","TestJoinCommunity","test_join_community","",""
"","54434","test_join_community_with_packet_loss","tests","Thu Mar 27 00:33:26 GMT 2025","broken","Thu Mar 27 00:34:20 GMT 2025","TestJoinCommunity","test_join_community","",""
"","21481","test_community_messages_with_node_pause_30_seconds","tests","Thu Mar 27 00:17:06 GMT 2025","passed","Thu Mar 27 00:17:28 GMT 2025","TestCommunityMessages","test_community_messages","",""
"","37238","test_create_group_chat_baseline","tests","Thu Mar 27 00:22:15 GMT 2025","passed","Thu Mar 27 00:22:52 GMT 2025","TestCreatePrivateGroups","test_create_private_groups","",""
"","21504","test_community_messages_with_node_pause_10_seconds","tests","Thu Mar 27 00:16:37 GMT 2025","passed","Thu Mar 27 00:16:59 GMT 2025","TestCommunityMessages","test_community_messages","",""
"","28392","test_one_to_one_message_baseline","tests","Thu Mar 27 00:38:33 GMT 2025","passed","Thu Mar 27 00:39:01 GMT 2025","TestOneToOneMessages","test_one_to_one_messages","",""
"","93491","test_contact_request_with_latency","tests","Thu Mar 27 00:18:21 GMT 2025","passed","Thu Mar 27 00:19:54 GMT 2025","TestContacRequest","test_contact_request","",""
"","60533","test_fetch_community_baseline","tests","Thu Mar 27 00:25:41 GMT 2025","failed","Thu Mar 27 00:26:42 GMT 2025","TestFetchCommunity","test_fetch_community","",""
"","3060","test_create_group_with_node_pause","tests","Thu Mar 27 00:23:02 GMT 2025","passed","Thu Mar 27 00:23:05 GMT 2025","TestCreatePrivateGroups","test_create_private_groups","",""
"","27891","test_one_to_one_message_with_low_bandwith","tests","Thu Mar 27 00:40:56 GMT 2025","passed","Thu Mar 27 00:41:24 GMT 2025","TestOneToOneMessages","test_one_to_one_messages","",""
"","60582","test_fetch_community_with_low_bandwith","tests","Thu Mar 27 00:28:55 GMT 2025","failed","Thu Mar 27 00:29:55 GMT 2025","TestFetchCommunity","test_fetch_community","",""
