"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60546","test_fetch_community_with_low_bandwith","tests","Tue Mar 18 00:29:16 GMT 2025","failed","Tue Mar 18 00:30:16 GMT 2025","TestFetchCommunity","test_fetch_community","",""
"","21492","test_community_messages_with_node_pause_10_seconds","tests","Tue Mar 18 00:16:45 GMT 2025","passed","Tue Mar 18 00:17:06 GMT 2025","TestCommunityMessages","test_community_messages","",""
"","68686","test_contact_request_with_packet_loss","tests","Tue Mar 18 00:19:59 GMT 2025","passed","Tue Mar 18 00:21:07 GMT 2025","TestContacRequest","test_contact_request","",""
"","39424","test_one_to_one_message_with_packet_loss","tests","Tue Mar 18 00:40:15 GMT 2025","passed","Tue Mar 18 00:40:54 GMT 2025","TestOneToOneMessages","test_one_to_one_messages","",""
"","3066","test_one_to_one_message_with_node_pause_5_seconds","tests","Tue Mar 18 00:41:43 GMT 2025","passed","Tue Mar 18 00:41:46 GMT 2025","TestOneToOneMessages","test_one_to_one_messages","",""
"","1053","test_contact_request_with_node_pause","tests","Tue Mar 18 00:22:11 GMT 2025","passed","Tue Mar 18 00:22:12 GMT 2025","TestContacRequest","test_contact_request","",""
"","3060","test_create_group_with_node_pause","tests","Tue Mar 18 00:23:09 GMT 2025","passed","Tue Mar 18 00:23:12 GMT 2025","TestCreatePrivateGroups","test_create_private_groups","",""
"","71712","test_fetch_community_baseline","tests","Tue Mar 18 00:25:51 GMT 2025","failed","Tue Mar 18 00:27:03 GMT 2025","TestFetchCommunity","test_fetch_community","",""
"","54448","test_fetch_community_with_packet_loss","tests","Tue Mar 18 00:28:13 GMT 2025","broken","Tue Mar 18 00:29:07 GMT 2025","TestFetchCommunity","test_fetch_community","",""
"","54448","test_fetch_community_with_latency","tests","Tue Mar 18 00:27:10 GMT 2025","broken","Tue Mar 18 00:28:05 GMT 2025","TestFetchCommunity","test_fetch_community","",""
"","54455","test_join_community_with_packet_loss","tests","Tue Mar 18 00:33:50 GMT 2025","broken","Tue Mar 18 00:34:44 GMT 2025","TestJoinCommunity","test_join_community","",""
"","3071","test_one_to_one_message_with_node_pause_30_seconds","tests","Tue Mar 18 00:41:56 GMT 2025","passed","Tue Mar 18 00:41:59 GMT 2025","TestOneToOneMessages","test_one_to_one_messages","",""
"","4069","test_group_chat_messages_with_node_pause_10_seconds","tests","Tue Mar 18 00:42:57 GMT 2025","passed","Tue Mar 18 00:43:01 GMT 2025","TestPrivateGroupMessages","test_private_group_messages","",""
"","53470","test_contact_request_baseline","tests","Tue Mar 18 00:17:35 GMT 2025","passed","Tue Mar 18 00:18:29 GMT 2025","TestContacRequest","test_contact_request","",""
"","28910","test_one_to_one_message_with_latency","tests","Tue Mar 18 00:39:36 GMT 2025","passed","Tue Mar 18 00:40:05 GMT 2025","TestOneToOneMessages","test_one_to_one_messages","",""
"","53385","test_contact_request_with_low_bandwith","tests","Tue Mar 18 00:21:07 GMT 2025","passed","Tue Mar 18 00:22:01 GMT 2025","TestContacRequest","test_contact_request","",""
"","89812","test_contact_request_with_latency","tests","Tue Mar 18 00:18:29 GMT 2025","passed","Tue Mar 18 00:19:59 GMT 2025","TestContacRequest","test_contact_request","",""
"","46468","test_join_community_with_node_pause","tests","Tue Mar 18 00:35:40 GMT 2025","passed","Tue Mar 18 00:36:26 GMT 2025","TestJoinCommunity","test_join_community","",""
"","39649","test_join_community_baseline","tests","Tue Mar 18 00:31:59 GMT 2025","failed","Tue Mar 18 00:32:39 GMT 2025","TestJoinCommunity","test_join_community","",""
"","38285","test_group_chat_messages_baseline","tests","Tue Mar 18 00:42:09 GMT 2025","passed","Tue Mar 18 00:42:47 GMT 2025","TestPrivateGroupMessages","test_private_group_messages","",""
"","4075","test_group_chat_messages_with_node_pause_40_seconds","tests","Tue Mar 18 00:43:12 GMT 2025","passed","Tue Mar 18 00:43:16 GMT 2025","TestPrivateGroupMessages","test_private_group_messages","",""
"","28398","test_one_to_one_message_with_low_bandwith","tests","Tue Mar 18 00:41:04 GMT 2025","passed","Tue Mar 18 00:41:33 GMT 2025","TestOneToOneMessages","test_one_to_one_messages","",""
"","39608","test_join_community_with_low_bandwith","tests","Tue Mar 18 00:34:52 GMT 2025","failed","Tue Mar 18 00:35:32 GMT 2025","TestJoinCommunity","test_join_community","",""
"","39742","test_leave_community_baseline","tests","Tue Mar 18 00:38:08 GMT 2025","failed","Tue Mar 18 00:38:48 GMT 2025","TestLeaveCommunity","test_leave_community","",""
"","55571","test_community_messages_baseline","tests","Tue Mar 18 00:15:41 GMT 2025","passed","Tue Mar 18 00:16:37 GMT 2025","TestCommunityMessages","test_community_messages","",""
"","37277","test_create_group_chat_baseline","tests","Tue Mar 18 00:22:22 GMT 2025","passed","Tue Mar 18 00:22:59 GMT 2025","TestCreatePrivateGroups","test_create_private_groups","",""
"","27888","test_one_to_one_message_baseline","tests","Tue Mar 18 00:38:58 GMT 2025","passed","Tue Mar 18 00:39:26 GMT 2025","TestOneToOneMessages","test_one_to_one_messages","",""
"","54442","test_join_community_with_latency","tests","Tue Mar 18 00:32:47 GMT 2025","broken","Tue Mar 18 00:33:41 GMT 2025","TestJoinCommunity","test_join_community","",""
"","21477","test_community_messages_with_node_pause_30_seconds","tests","Tue Mar 18 00:17:14 GMT 2025","passed","Tue Mar 18 00:17:35 GMT 2025","TestCommunityMessages","test_community_messages","",""
