"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28371","test_one_to_one_message_baseline","tests","Fri Jan 24 00:39:12 GMT 2025","passed","Fri Jan 24 00:39:40 GMT 2025","TestOneToOneMessages","test_one_to_one_messages","",""
"","88191","test_fetch_community_with_latency","tests","Fri Jan 24 00:25:55 GMT 2025","broken","Fri Jan 24 00:27:23 GMT 2025","TestFetchCommunity","test_fetch_community","",""
"","52739","test_contact_request_baseline","tests","Fri Jan 24 00:17:48 GMT 2025","passed","Fri Jan 24 00:18:41 GMT 2025","TestContacRequest","test_contact_request","",""
"","31081","test_fetch_community_with_low_bandwith","tests","Fri Jan 24 00:28:46 GMT 2025","failed","Fri Jan 24 00:29:17 GMT 2025","TestFetchCommunity","test_fetch_community","",""
"","3070","test_one_to_one_message_with_node_pause_30_seconds","tests","Fri Jan 24 00:42:00 GMT 2025","passed","Fri Jan 24 00:42:03 GMT 2025","TestOneToOneMessages","test_one_to_one_messages","",""
"","21383","test_community_messages_with_node_pause_30_seconds","tests","Fri Jan 24 00:17:27 GMT 2025","passed","Fri Jan 24 00:17:48 GMT 2025","TestCommunityMessages","test_community_messages","",""
"","38245","test_create_group_chat_baseline","tests","Fri Jan 24 00:22:52 GMT 2025","passed","Fri Jan 24 00:23:30 GMT 2025","TestCreatePrivateGroups","test_create_private_groups","",""
"","67764","test_join_community_with_packet_loss","tests","Fri Jan 24 00:33:41 GMT 2025","broken","Fri Jan 24 00:34:49 GMT 2025","TestJoinCommunity","test_join_community","",""
"","38030","test_join_community_with_low_bandwith","tests","Fri Jan 24 00:34:57 GMT 2025","passed","Fri Jan 24 00:35:35 GMT 2025","TestJoinCommunity","test_join_community","",""
"","4069","test_group_chat_messages_with_node_pause_10_seconds","tests","Fri Jan 24 00:43:01 GMT 2025","passed","Fri Jan 24 00:43:05 GMT 2025","TestPrivateGroupMessages","test_private_group_messages","",""
"","89815","test_join_community_with_latency","tests","Fri Jan 24 00:32:03 GMT 2025","broken","Fri Jan 24 00:33:33 GMT 2025","TestJoinCommunity","test_join_community","",""
"","2056","test_contact_request_with_node_pause","tests","Fri Jan 24 00:22:40 GMT 2025","passed","Fri Jan 24 00:22:42 GMT 2025","TestContacRequest","test_contact_request","",""
"","5075","test_group_chat_messages_with_node_pause_40_seconds","tests","Fri Jan 24 00:43:15 GMT 2025","passed","Fri Jan 24 00:43:21 GMT 2025","TestPrivateGroupMessages","test_private_group_messages","",""
"","28384","test_one_to_one_message_with_low_bandwith","tests","Fri Jan 24 00:41:09 GMT 2025","passed","Fri Jan 24 00:41:37 GMT 2025","TestOneToOneMessages","test_one_to_one_messages","",""
"","46837","test_leave_community_baseline","tests","Fri Jan 24 00:38:15 GMT 2025","failed","Fri Jan 24 00:39:02 GMT 2025","TestLeaveCommunity","test_leave_community","",""
"","36964","test_fetch_community_baseline","tests","Fri Jan 24 00:25:10 GMT 2025","failed","Fri Jan 24 00:25:47 GMT 2025","TestFetchCommunity","test_fetch_community","",""
"","28384","test_one_to_one_message_with_packet_loss","tests","Fri Jan 24 00:40:30 GMT 2025","passed","Fri Jan 24 00:40:59 GMT 2025","TestOneToOneMessages","test_one_to_one_messages","",""
"","66996","test_fetch_community_with_packet_loss","tests","Fri Jan 24 00:27:31 GMT 2025","failed","Fri Jan 24 00:28:38 GMT 2025","TestFetchCommunity","test_fetch_community","",""
"","4065","test_create_group_with_node_pause","tests","Fri Jan 24 00:23:40 GMT 2025","passed","Fri Jan 24 00:23:44 GMT 2025","TestCreatePrivateGroups","test_create_private_groups","",""
"","40261","test_join_community_baseline","tests","Fri Jan 24 00:31:15 GMT 2025","failed","Fri Jan 24 00:31:55 GMT 2025","TestJoinCommunity","test_join_community","",""
"","55509","test_community_messages_baseline","tests","Fri Jan 24 00:15:54 GMT 2025","passed","Fri Jan 24 00:16:49 GMT 2025","TestCommunityMessages","test_community_messages","",""
"","62587","test_contact_request_with_latency","tests","Fri Jan 24 00:18:41 GMT 2025","passed","Fri Jan 24 00:19:44 GMT 2025","TestContacRequest","test_contact_request","",""
"","113048","test_contact_request_with_packet_loss","tests","Fri Jan 24 00:19:44 GMT 2025","passed","Fri Jan 24 00:21:37 GMT 2025","TestContacRequest","test_contact_request","",""
"","21777","test_community_messages_with_node_pause_10_seconds","tests","Fri Jan 24 00:16:57 GMT 2025","passed","Fri Jan 24 00:17:19 GMT 2025","TestCommunityMessages","test_community_messages","",""
"","38280","test_group_chat_messages_baseline","tests","Fri Jan 24 00:42:13 GMT 2025","passed","Fri Jan 24 00:42:51 GMT 2025","TestPrivateGroupMessages","test_private_group_messages","",""
"","53121","test_contact_request_with_low_bandwith","tests","Fri Jan 24 00:21:37 GMT 2025","passed","Fri Jan 24 00:22:30 GMT 2025","TestContacRequest","test_contact_request","",""
"","46626","test_join_community_with_node_pause","tests","Fri Jan 24 00:35:43 GMT 2025","passed","Fri Jan 24 00:36:29 GMT 2025","TestJoinCommunity","test_join_community","",""
"","3072","test_one_to_one_message_with_node_pause_5_seconds","tests","Fri Jan 24 00:41:47 GMT 2025","passed","Fri Jan 24 00:41:50 GMT 2025","TestOneToOneMessages","test_one_to_one_messages","",""
"","30403","test_one_to_one_message_with_latency","tests","Fri Jan 24 00:39:50 GMT 2025","passed","Fri Jan 24 00:40:20 GMT 2025","TestOneToOneMessages","test_one_to_one_messages","",""
